date,longitude,latitude,TreeCover_Percent
2024-03-05,29.33,40.78,0.0
2024-03-05,29.33,40.79,0.0
2024-03-05,29.33,40.8,0.0
2024-03-05,29.33,40.81,0.0
2024-03-05,29.33,40.82,2.3333333333333335
2024-03-05,29.34,40.77,0.0
2024-03-05,29.34,40.78,0.0
2024-03-05,29.34,40.79,14.147540983606557
2024-03-05,29.34,40.8,0.0
2024-03-05,29.34,40.81,2.435483870967742
2024-03-05,29.34,40.82,1.9761904761904763
2024-03-05,29.35,40.76,2.3333333333333335
2024-03-05,29.35,40.77,3.8372093023255816
2024-03-05,29.35,40.78,2.98
2024-03-05,29.35,40.79,4.125
2024-03-05,29.35,40.8,18.022222222222222
2024-03-05,29.35,40.81,5.033333333333333
2024-03-05,29.35,40.82,2.1228070175438596
2024-03-05,29.35,40.83,1.0
2024-03-05,29.36,40.75,0.0
2024-03-05,29.36,40.76,3.5588235294117645
2024-03-05,29.36,40.77,5.546666666666667
2024-03-05,29.36,40.78,2.08
2024-03-05,29.36,40.79,1.9466666666666668
2024-03-05,29.36,40.8,1.2666666666666666
2024-03-05,29.36,40.81,5.8
2024-03-05,29.36,40.82,4.026666666666666
2024-03-05,29.36,40.83,1.76
2024-03-05,29.36,40.84,3.25
2024-03-05,29.36,40.85,2.8
2024-03-05,29.36,40.86,1.8333333333333333
2024-03-05,29.37,40.75,0.0
2024-03-05,29.37,40.76,1.4714285714285715
2024-03-05,29.37,40.77,3.52
2024-03-05,29.37,40.78,1.24
2024-03-05,29.37,40.79,1.0266666666666666
2024-03-05,29.37,40.8,1.1333333333333333
2024-03-05,29.37,40.81,1.84
2024-03-05,29.37,40.82,1.44
2024-03-05,29.37,40.83,5.338235294117647
2024-03-05,29.37,40.84,3.18
2024-03-05,29.37,40.85,1.2352941176470589
2024-03-05,29.37,40.86,2.32
2024-03-05,29.37,40.87,2.625
2024-03-05,29.38,40.75,0.0
2024-03-05,29.38,40.76,2.1267605633802815
2024-03-05,29.38,40.77,1.6933333333333334
2024-03-05,29.38,40.78,0.9333333333333333
2024-03-05,29.38,40.79,0.76
2024-03-05,29.38,40.8,1.4
2024-03-05,29.38,40.81,2.973333333333333
2024-03-05,29.38,40.82,1.76
2024-03-05,29.38,40.83,2.1166666666666667
2024-03-05,29.38,40.84,2.36
2024-03-05,29.38,40.85,3.575
2024-03-05,29.38,40.86,2.04
2024-03-05,29.38,40.87,2.0
2024-03-05,29.38,40.88,0.4166666666666667
2024-03-05,29.39,40.75,0.0
2024-03-05,29.39,40.76,2.635135135135135
2024-03-05,29.39,40.77,1.9733333333333334
2024-03-05,29.39,40.78,3.466666666666667
2024-03-05,29.39,40.79,2.013333333333333
2024-03-05,29.39,40.8,3.1666666666666665
2024-03-05,29.39,40.81,3.1733333333333333
2024-03-05,29.39,40.82,1.6923076923076923
2024-03-05,29.39,40.83,5.172413793103448
2024-03-05,29.39,40.84,9.655172413793103
2024-03-05,29.39,40.85,3.9565217391304346
2024-03-05,29.39,40.86,2.12
2024-03-05,29.39,40.87,2.6
2024-03-05,29.39,40.88,7.283333333333333
2024-03-05,29.39,40.89,1.6666666666666667
2024-03-05,29.4,40.75,0.0
2024-03-05,29.4,40.76,3.7169811320754715
2024-03-05,29.4,40.77,1.65
2024-03-05,29.4,40.78,2.5833333333333335
2024-03-05,29.4,40.79,1.8666666666666667
2024-03-05,29.4,40.8,2.951219512195122
2024-03-05,29.4,40.81,2.2982456140350878
2024-03-05,29.4,40.82,2.4166666666666665
2024-03-05,29.4,40.83,2.275
2024-03-05,29.4,40.84,17.035714285714285
2024-03-05,29.4,40.85,14.0
2024-03-05,29.4,40.86,16.689655172413794
2024-03-05,29.4,40.87,5.758620689655173
2024-03-05,29.4,40.88,6.593220338983051
2024-03-05,29.4,40.89,6.541666666666667
2024-03-05,29.41,40.75,0.0
2024-03-05,29.41,40.76,1.8392857142857142
2024-03-05,29.41,40.77,2.7866666666666666
2024-03-05,29.41,40.78,1.16
2024-03-05,29.41,40.79,1.7733333333333334
2024-03-05,29.41,40.8,5.1
2024-03-05,29.41,40.81,4.985294117647059
2024-03-05,29.41,40.82,2.1449275362318843
2024-03-05,29.41,40.83,9.73134328358209
2024-03-05,29.41,40.84,6.947368421052632
2024-03-05,29.41,40.85,7.653846153846154
2024-03-05,29.41,40.86,11.36
2024-03-05,29.41,40.87,2.36
2024-03-05,29.41,40.88,4.633802816901408
2024-03-05,29.41,40.89,3.106382978723404
2024-03-05,29.41,40.9,2.0
2024-03-05,29.42,40.75,0.0
2024-03-05,29.42,40.76,0.0
2024-03-05,29.42,40.77,4.416666666666667
2024-03-05,29.42,40.78,2.5733333333333333
2024-03-05,29.42,40.79,1.8933333333333333
2024-03-05,29.42,40.8,2.1363636363636362
2024-03-05,29.42,40.81,1.8656716417910448
2024-03-05,29.42,40.82,4.688524590163935
2024-03-05,29.42,40.83,4.381818181818182
2024-03-05,29.42,40.84,2.019230769230769
2024-03-05,29.42,40.85,2.0
2024-03-05,29.42,40.86,6.173333333333333
2024-03-05,29.42,40.87,2.1466666666666665
2024-03-05,29.42,40.88,4.173333333333333
2024-03-05,29.42,40.89,2.436619718309859
2024-03-05,29.42,40.9,1.5384615384615385
2024-03-05,29.43,40.75,0.0
2024-03-05,29.43,40.76,0.0
2024-03-05,29.43,40.77,4.123076923076923
2024-03-05,29.43,40.78,7.4
2024-03-05,29.43,40.79,12.746666666666666
2024-03-05,29.43,40.8,9.983333333333333
2024-03-05,29.43,40.81,3.45
2024-03-05,29.43,40.82,5.84
