date,longitude,latitude,LandCover_Type
2024-01-01,30.25624999723789,41.21874999623712,17
2024-01-01,30.260416663904177,41.21874999623712,17
2024-01-01,30.252083330571605,41.21458332957083,17
2024-01-01,30.25624999723789,41.21458332957083,17
2024-01-01,30.260416663904177,41.21458332957083,17
2024-01-01,30.264583330570463,41.21458332957083,17
2024-01-01,30.26874999723675,41.21458332957083,17
2024-01-01,30.272916663903036,41.21458332957083,17
2024-01-01,30.243749997239032,41.21041666290455,17
2024-01-01,30.24791666390532,41.21041666290455,17
2024-01-01,30.252083330571605,41.21041666290455,17
2024-01-01,30.25624999723789,41.21041666290455,17
2024-01-01,30.260416663904177,41.21041666290455,17
2024-01-01,30.264583330570463,41.21041666290455,17
2024-01-01,30.26874999723675,41.21041666290455,16
2024-01-01,30.272916663903036,41.21041666290455,16
2024-01-01,30.277083330569322,41.21041666290455,17
2024-01-01,30.28124999723561,41.21041666290455,17
2024-01-01,30.285416663901895,41.21041666290455,17
2024-01-01,30.239583330572746,41.206249996238256,17
2024-01-01,30.243749997239032,41.206249996238256,17
2024-01-01,30.24791666390532,41.206249996238256,17
2024-01-01,30.252083330571605,41.206249996238256,17
2024-01-01,30.25624999723789,41.206249996238256,17
2024-01-01,30.260416663904177,41.206249996238256,17
2024-01-01,30.264583330570463,41.206249996238256,11
2024-01-01,30.26874999723675,41.206249996238256,9
2024-01-01,30.272916663903036,41.206249996238256,13
2024-01-01,30.277083330569322,41.206249996238256,13
2024-01-01,30.28124999723561,41.206249996238256,17
2024-01-01,30.285416663901895,41.206249996238256,17
2024-01-01,30.28958333056818,41.206249996238256,17
2024-01-01,30.293749997234467,41.206249996238256,17
2024-01-01,30.297916663900754,41.206249996238256,17
2024-01-01,30.23541666390646,41.20208332957198,17
2024-01-01,30.239583330572746,41.20208332957198,17
2024-01-01,30.243749997239032,41.20208332957198,17
2024-01-01,30.24791666390532,41.20208332957198,17
2024-01-01,30.252083330571605,41.20208332957198,17
2024-01-01,30.25624999723789,41.20208332957198,17
2024-01-01,30.260416663904177,41.20208332957198,11
2024-01-01,30.264583330570463,41.20208332957198,11
2024-01-01,30.26874999723675,41.20208332957198,8
2024-01-01,30.272916663903036,41.20208332957198,9
2024-01-01,30.277083330569322,41.20208332957198,13
2024-01-01,30.28124999723561,41.20208332957198,13
2024-01-01,30.285416663901895,41.20208332957198,13
2024-01-01,30.28958333056818,41.20208332957198,13
2024-01-01,30.293749997234467,41.20208332957198,11
2024-01-01,30.297916663900754,41.20208332957198,17
2024-01-01,30.30208333056704,41.20208332957198,17
2024-01-01,30.306249997233326,41.20208332957198,17
2024-01-01,30.310416663899613,41.20208332957198,17
2024-01-01,30.231249997240173,41.19791666290568,17
2024-01-01,30.23541666390646,41.19791666290568,17
2024-01-01,30.239583330572746,41.19791666290568,17
2024-01-01,30.243749997239032,41.19791666290568,17
2024-01-01,30.24791666390532,41.19791666290568,17
2024-01-01,30.252083330571605,41.19791666290568,17
2024-01-01,30.25624999723789,41.19791666290568,17
2024-01-01,30.260416663904177,41.19791666290568,9
2024-01-01,30.264583330570463,41.19791666290568,9
2024-01-01,30.26874999723675,41.19791666290568,9
2024-01-01,30.272916663903036,41.19791666290568,9
2024-01-01,30.277083330569322,41.19791666290568,9
2024-01-01,30.28124999723561,41.19791666290568,9
2024-01-01,30.285416663901895,41.19791666290568,9
2024-01-01,30.28958333056818,41.19791666290568,9
2024-01-01,30.293749997234467,41.19791666290568,11
2024-01-01,30.297916663900754,41.19791666290568,1
2024-01-01,30.30208333056704,41.19791666290568,1
2024-01-01,30.306249997233326,41.19791666290568,1
2024-01-01,30.310416663899613,41.19791666290568,1
2024-01-01,30.3145833305659,41.19791666290568,1
2024-01-01,30.2229166639076,41.193749996239404,17
2024-01-01,30.227083330573887,41.193749996239404,17
2024-01-01,30.231249997240173,41.193749996239404,17
2024-01-01,30.23541666390646,41.193749996239404,17
2024-01-01,30.239583330572746,41.193749996239404,17
2024-01-01,30.243749997239032,41.193749996239404,17
2024-01-01,30.24791666390532,41.193749996239404,17
2024-01-01,30.252083330571605,41.193749996239404,17
2024-01-01,30.25624999723789,41.193749996239404,13
2024-01-01,30.260416663904177,41.193749996239404,13
2024-01-01,30.264583330570463,41.193749996239404,9
2024-01-01,30.26874999723675,41.193749996239404,9
2024-01-01,30.272916663903036,41.193749996239404,9
2024-01-01,30.277083330569322,41.193749996239404,9
2024-01-01,30.28124999723561,41.193749996239404,2
2024-01-01,30.285416663901895,41.193749996239404,2
2024-01-01,30.28958333056818,41.193749996239404,2
2024-01-01,30.293749997234467,41.193749996239404,2
2024-01-01,30.297916663900754,41.193749996239404,2
2024-01-01,30.30208333056704,41.193749996239404,2
2024-01-01,30.306249997233326,41.193749996239404,2
2024-01-01,30.310416663899613,41.193749996239404,2
2024-01-01,30.3145833305659,41.193749996239404,2
2024-01-01,30.218749997241314,41.18958332957311,17
2024-01-01,30.2229166639076,41.18958332957311,17
2024-01-01,30.227083330573887,41.18958332957311,17
2024-01-01,30.231249997240173,41.18958332957311,17
2024-01-01,30.23541666390646,41.18958332957311,17
2024-01-01,30.239583330572746,41.18958332957311,17
2024-01-01,30.243749997239032,41.18958332957311,17
2024-01-01,30.24791666390532,41.18958332957311,17
2024-01-01,30.252083330571605,41.18958332957311,17
2024-01-01,30.25624999723789,41.18958332957311,13
2024-01-01,30.260416663904177,41.18958332957311,9
2024-01-01,30.264583330570463,41.18958332957311,9
2024-01-01,30.26874999723675,41.18958332957311,9
2024-01-01,30.272916663903036,41.18958332957311,9
